               svt |     none | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |     Tube | 5.8758300000000006*cm 13.989851999999999*cm 29.361501*cm 0.0*rad 360.0*rad  | 
busCablePk_m2_s6_r3 | busCable_m2_s6_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.0039000000000000003*cm 17.753*cm  | 
pitchAdaptor_m2_s6_r3 | sector6_r3 | 0.000000*cm -0.174100*cm -14.409750*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m2_s6_r3 | sector6_r3 | 0.000000*cm -0.208100*cm -16.711750*cm | ordered: zyx 180.0*deg 0.0*deg 0.0*deg |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m2_s6_r3 | pcBoardAndChips_m2_s6_r3 | 0.000000*cm -0.025000*cm 0.000000*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m2_s6_r3 | pcBoardAndChips_m2_s6_r3 | 0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m2_s6_r3 | pcBoardAndChips_m2_s6_r3 | -0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m2_s6_r3 | sector6_r3 | 0.000000*cm -0.154950*cm 0.829250*cm | ordered: zyx 180.0*deg 0.0*deg 0.0*deg |      Box | 2.0500000000000003*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | 0.693750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -1.293750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 0.5437500000000001*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | 0.800000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -1.400000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm -0.003000*cm -1.532750*cm | 0 0 0 |      Box | 0.006350000000000001*cm 1.5000000000000001E-4*cm 18.54925*cm  | 
     pad0_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad1_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad2_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm 12.935400*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad3_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm 8.854300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad4_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm 5.843300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad5_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm 1.762200*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad6_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm -2.318900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad7_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm -5.329900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad8_m2_s6_r3 | epoxyAndRailAndPads_m2_s6_r3 | -0.600000*cm 0.000200*cm -9.411000*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
        sector7_r3 |  region3 | -10.570966*cm 6.103150*cm 0.000000*cm | ordered: zyx 119.99999999999999*deg 0.0*deg 0.0*deg |      Box | 2.1*cm 0.2581*cm 20.912750000000003*cm  | 
  heatSinkCu_s7_r3 | sector7_r3 | 0.000000*cm 0.002500*cm -17.646250*cm | 0 0 0 |      Box | 2.035*cm 0.1275*cm 3.2665*cm  | 
heatSinkRidge_s7_r3 | sector7_r3 | 0.000000*cm 0.149000*cm -20.132750*cm | 0 0 0 |      Box | 2.035*cm 0.019000000000000003*cm 0.78*cm  | 
    rohacell_s7_r3 | sector7_r3 | 0.000000*cm 0.000000*cm 3.266500*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.125*cm 17.646250000000002*cm  | 
   module_m1_s7_r3 | sector7_r3 | 0.000000*cm 0.174100*cm 2.615200*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m1_s7_r3 | module_m1_s7_r3 | 0.000000*cm 0.000000*cm -11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical2_m1_s7_r3 | module_m1_s7_r3 | 0.000000*cm 0.000000*cm -0.000000*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical3_m1_s7_r3 | module_m1_s7_r3 | 0.000000*cm 0.000000*cm 11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
carbonFiber_m1_s7_r3 | sector7_r3 | 0.000000*cm 0.134500*cm 0.829250*cm | 0 0 0 |      Box | 2.1*cm 0.009500000000000001*cm 20.082*cm  | 
carbonFiberCu_m1_s7_r3 | carbonFiber_m1_s7_r3 | 0.000000*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.8375000000000001*cm 0.009500000000000001*cm 2.329*cm  | 
carbonFiberPk_m1_s7_r3 | carbonFiber_m1_s7_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.009500000000000001*cm 17.753*cm  | 
 busCable_m1_s7_r3 | sector7_r3 | 0.000000*cm 0.147900*cm 0.829250*cm | 0 0 0 |      Box | 2.1*cm 0.0039000000000000003*cm 20.082*cm  | 
busCableCu_m1_s7_r3 | busCable_m1_s7_r3 | 0.000000*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.8375000000000001*cm 0.0039000000000000003*cm 2.329*cm  | 
busCablePk_m1_s7_r3 | busCable_m1_s7_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.0039000000000000003*cm 17.753*cm  | 
pitchAdaptor_m1_s7_r3 | sector7_r3 | 0.000000*cm 0.174100*cm -14.409750*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m1_s7_r3 | sector7_r3 | 0.000000*cm 0.208100*cm -16.711750*cm | 0 0 0 |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m1_s7_r3 | pcBoardAndChips_m1_s7_r3 | 0.000000*cm -0.025000*cm 0.000000*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m1_s7_r3 | pcBoardAndChips_m1_s7_r3 | 0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m1_s7_r3 | pcBoardAndChips_m1_s7_r3 | -0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m1_s7_r3 | sector7_r3 | 0.000000*cm 0.154950*cm 0.829250*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | 0.693750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -1.293750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 0.5437500000000001*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | 0.800000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -1.400000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm -0.003000*cm -1.532750*cm | 0 0 0 |      Box | 0.006350000000000001*cm 1.5000000000000001E-4*cm 18.54925*cm  | 
     pad0_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad1_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad2_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm 12.935400*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad3_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm 8.854300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad4_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm 5.843300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad5_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm 1.762200*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad6_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm -2.318900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad7_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm -5.329900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad8_m1_s7_r3 | epoxyAndRailAndPads_m1_s7_r3 | -0.600000*cm 0.000200*cm -9.411000*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
   module_m2_s7_r3 | sector7_r3 | 0.000000*cm -0.174100*cm 2.615200*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m2_s7_r3 | module_m2_s7_r3 | 0.000000*cm 0.000000*cm -11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical2_m2_s7_r3 | module_m2_s7_r3 | 0.000000*cm 0.000000*cm -0.000000*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical3_m2_s7_r3 | module_m2_s7_r3 | 0.000000*cm 0.000000*cm 11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
carbonFiber_m2_s7_r3 | sector7_r3 | 0.000000*cm -0.134500*cm 0.829250*cm | 0 0 0 |      Box | 2.1*cm 0.009500000000000001*cm 20.082*cm  | 
carbonFiberCu_m2_s7_r3 | carbonFiber_m2_s7_r3 | 0.000000*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.8375000000000001*cm 0.009500000000000001*cm 2.329*cm  | 
carbonFiberPk_m2_s7_r3 | carbonFiber_m2_s7_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.009500000000000001*cm 17.753*cm  | 
 busCable_m2_s7_r3 | sector7_r3 | 0.000000*cm -0.147900*cm 0.829250*cm | 0 0 0 |      Box | 2.1*cm 0.0039000000000000003*cm 20.082*cm  | 
busCableCu_m2_s7_r3 | busCable_m2_s7_r3 | 0.000000*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.8375000000000001*cm 0.0039000000000000003*cm 2.329*cm  | 
busCablePk_m2_s7_r3 | busCable_m2_s7_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.0039000000000000003*cm 17.753*cm  | 
pitchAdaptor_m2_s7_r3 | sector7_r3 | 0.000000*cm -0.174100*cm -14.409750*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m2_s7_r3 | sector7_r3 | 0.000000*cm -0.208100*cm -16.711750*cm | ordered: zyx 180.0*deg 0.0*deg 0.0*deg |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m2_s7_r3 | pcBoardAndChips_m2_s7_r3 | 0.000000*cm -0.025000*cm 0.000000*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m2_s7_r3 | pcBoardAndChips_m2_s7_r3 | 0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m2_s7_r3 | pcBoardAndChips_m2_s7_r3 | -0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m2_s7_r3 | sector7_r3 | 0.000000*cm -0.154950*cm 0.829250*cm | ordered: zyx 180.0*deg 0.0*deg 0.0*deg |      Box | 2.0500000000000003*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | 0.693750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -1.293750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 0.5437500000000001*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | 0.800000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -1.400000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm -0.003000*cm -1.532750*cm | 0 0 0 |      Box | 0.006350000000000001*cm 1.5000000000000001E-4*cm 18.54925*cm  | 
     pad0_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad1_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad2_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm 12.935400*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad3_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm 8.854300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad4_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm 5.843300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad5_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm 1.762200*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad6_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm -2.318900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad7_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm -5.329900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad8_m2_s7_r3 | epoxyAndRailAndPads_m2_s7_r3 | -0.600000*cm 0.000200*cm -9.411000*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
        sector8_r3 |  region3 | -7.846058*cm 9.350568*cm 0.000000*cm | ordered: zyx 140.0*deg 0.0*deg 0.0*deg |      Box | 2.1*cm 0.2581*cm 20.912750000000003*cm  | 
  heatSinkCu_s8_r3 | sector8_r3 | 0.000000*cm 0.002500*cm -17.646250*cm | 0 0 0 |      Box | 2.035*cm 0.1275*cm 3.2665*cm  | 
heatSinkRidge_s8_r3 | sector8_r3 | 0.000000*cm 0.149000*cm -20.132750*cm | 0 0 0 |      Box | 2.035*cm 0.019000000000000003*cm 0.78*cm  | 
    rohacell_s8_r3 | sector8_r3 | 0.000000*cm 0.000000*cm 3.266500*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.125*cm 17.646250000000002*cm  | 
   module_m1_s8_r3 | sector8_r3 | 0.000000*cm 0.174100*cm 2.615200*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m1_s8_r3 | module_m1_s8_r3 | 0.000000*cm 0.000000*cm -11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical2_m1_s8_r3 | module_m1_s8_r3 | 0.000000*cm 0.000000*cm -0.000000*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical3_m1_s8_r3 | module_m1_s8_r3 | 0.000000*cm 0.000000*cm 11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
carbonFiber_m1_s8_r3 | sector8_r3 | 0.000000*cm 0.134500*cm 0.829250*cm | 0 0 0 |      Box | 2.1*cm 0.009500000000000001*cm 20.082*cm  | 
carbonFiberCu_m1_s8_r3 | carbonFiber_m1_s8_r3 | 0.000000*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.8375000000000001*cm 0.009500000000000001*cm 2.329*cm  | 
carbonFiberPk_m1_s8_r3 | carbonFiber_m1_s8_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.009500000000000001*cm 17.753*cm  | 
 busCable_m1_s8_r3 | sector8_r3 | 0.000000*cm 0.147900*cm 0.829250*cm | 0 0 0 |      Box | 2.1*cm 0.0039000000000000003*cm 20.082*cm  | 
busCableCu_m1_s8_r3 | busCable_m1_s8_r3 | 0.000000*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.8375000000000001*cm 0.0039000000000000003*cm 2.329*cm  | 
busCablePk_m1_s8_r3 | busCable_m1_s8_r3 | 0.000000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.0039000000000000003*cm 17.753*cm  | 
pitchAdaptor_m1_s8_r3 | sector8_r3 | 0.000000*cm 0.174100*cm -14.409750*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m1_s8_r3 | sector8_r3 | 0.000000*cm 0.208100*cm -16.711750*cm | 0 0 0 |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m1_s8_r3 | pcBoardAndChips_m1_s8_r3 | 0.000000*cm -0.025000*cm 0.000000*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m1_s8_r3 | pcBoardAndChips_m1_s8_r3 | 0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m1_s8_r3 | pcBoardAndChips_m1_s8_r3 | -0.999000*cm 0.025000*cm 1.768000*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m1_s8_r3 | sector8_r3 | 0.000000*cm 0.154950*cm 0.829250*cm | 0 0 0 |      Box | 2.0500000000000003*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | 0.693750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -1.293750*cm 0.000000*cm -17.753000*cm | 0 0 0 |      Box | 0.5437500000000001*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | 0.800000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -1.400000*cm 0.000000*cm 2.329000*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm -0.003000*cm -1.532750*cm | 0 0 0 |      Box | 0.006350000000000001*cm 1.5000000000000001E-4*cm 18.54925*cm  | 
     pad0_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad1_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm 17.016500*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad2_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm 12.935400*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad3_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm 8.854300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad4_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm 5.843300*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad5_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm 1.762200*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad6_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm -2.318900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad7_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm -5.329900*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
     pad8_m1_s8_r3 | epoxyAndRailAndPads_m1_s8_r3 | -0.600000*cm 0.000200*cm -9.411000*cm | ordered: zyx 0.0*deg 0.0*deg -90.0*deg |     Tube | 0.0*cm 0.15000000000000002*cm 0.00305*cm 0.0*rad 360.0*rad  | 
   module_m2_s8_r3 | sector8_r3 | 0.000000*cm -0.174100*cm 2.615200*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m2_s8_r3 | module_m2_s8_r3 | 0.000000*cm 0.000000*cm -11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical2_m2_s8_r3 | module_m2_s8_r3 | 0.000000*cm 0.000000*cm -0.000000*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
sensorPhysical3_m2_s8_r3 | module_m2_s8_r3 | 0.000000*cm 0.000000*cm 11.173700*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.581250000000001*cm  | 
